1)   Gender,2)    Age,3)    Education Level,4)   Major,5)  administrative regions,"6)  How often do you use the Internet and Internet-related services? (E.g. Email, WhatsApp, News, YouTube",7) What are your Internet/ Digital devices skills level?,"8)   Of the following, which digital devices do you use regularly? Tick all that apply",9)  For what purposes do you use the Internet? Tick all that apply,"10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each   [I am concerned about identity theft (somebody stealing your personal data and impersonating you, e.g. tweeting under your name)]","10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about receiving phishing emails (e.g. asking for money, personal information or bank account details]",10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about not being able to access online services (e.g. banking services) because of cyber attacks],10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [I am concerned about accidentally encountering material that promotes hatred or religious extremism],"10) Some of the most common cyber crimes are presented below. What is your opinion of each of the following statements? Select the appropriate response for each:   [Online extortion (a demand for money to avert or stop extortion, or to avert scandal)]","Other, please specify","Other, please specify.1","11) Have you been a victim of cyber crime? (E.g. lost data or email account, device infected with virus or spyware, stole your picture/s or digital device/s).","If Yes, To whom did you report or contact?  (Please check all that apply)","If No, What was/were the reason/s? (Please check all that apply)","If Yes, To whom would you report or contact?  (Please check all that apply)","If No, What is/are the reason/s? (Please check all that apply)"
Female,18-29,"Postgraduate (Masters, PhD)",Computer Science,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","   Desktop, Laptop, Smartphone","Education, Social networks, Online services, Communication",Always,Always,Always,Always,Always,,,Yes,,I think that there is no value of reporting,,I do not know what the crime means
Female,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Smartphone,"Social networks, Communication",Never,Never,Never,Never,Never,,,No,,,"Saudi eGovernment Portal , Saudi CERT",
Female,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Tablet,"Education, Social networks, Online services, Communication",Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,Yes,Bank,,,Not sure
Female,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)"," Laptop, Smartphone","Professional reasons, Education, Social networks, Online services, Communication",Never,Always,Always,Always,Always,,,No,,,,Not sure
Male,18-29,"Undergraduate (Diploma, BSc)",Engineering,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Desktop, Laptop, Smartphone","Education, Social networks, Online services, Entertainment, Communication",Always,Always,Sometimes,Always,Sometimes,,,Yes,,"I did not know how to describe or write reports about cyber crime , I think that there is no value of reporting, It was my fault to trust unauthorized person",,I will fix the problem by myself
Female,40-49,"Postgraduate (Masters, PhD)",Education,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)"," Laptop, Smartphone","Professional reasons, Education, Social networks,  Online services, Communication",Always,Do not know,Do not know,Do not know,Do not know,,,Yes,,I fixed the problem by myself,,Not sure
Female,18-29,"Postgraduate (Masters, PhD)",Biotechnology,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Desktop, Laptop, Smartphone","Professional reasons, Education, Social networks, Entertainment",Somtimes,Sometimes,Sometimes,Sometimes,Sometimes,,,No,,,Saudi CERT,
Female,30-39,"Undergraduate (Diploma, BSc)",Education,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","Laptop, Smartphone","Education, Social networks, Entertainment",Never,Never,Never,Always,Sometimes,,,No,,,"Saudi eGovernment Portal , Saudi CERT",
Female,18-29,"Undergraduate (Diploma, BSc)",Medicine or public health,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)","     Laptop, Smartphone","Education, Social networks, Online services, Entertainment, Communication",Never,Always,Always,Do not know,Do not know,,,Yes,,"I think that there is no value of reporting, I fixed the problem by myself",,Not sure
Female,18-29,"Undergraduate (Diploma, BSc)",Computer Science,,Frequently throughout the day,"Intermediate (e.g. able to install and run special software, make modifications to the settings of the computer, have a good understanding of hardware and software)",Laptop,Social networks,Always,Always,Always,Always,Always,,,No,,,Saudi eGovernment Portal,
